,Country,Year,Region,Democracy Index,energy_cons,rail_cargo,urban_per,service_per,GDP
58,Morocco,2019,Middle East and North Africa,5.1,32.255546,3125.0,62.994,53.4781212999139,128920265075.525
59,Tunisia,2019,Middle East and North Africa,6.72,16.73774,545.0,69.254,59.9417187054004,41905637658.6053
60,United Arab Emirates,2019,Middle East and North Africa,2.76,122.623,1488.485,86.789,54.7287717592443,417989721742.682
61,Cameroon,2019,Sub-Saharan Africa,2.85,6.509974,974.087,56.968,51.0268734763051,39670976440.3158
62,Gabon,2019,Sub-Saharan Africa,3.61,2.365078,406.0,89.741,40.4703782489961,16874405460.1964
63,Zimbabwe,2019,Sub-Saharan Africa,3.16,7.786427,897.0,32.21,52.6772988950888,21832234925.5021
64,Canada,2018,North America,9.15,554.0621157,445546.0,81.411,66.8658461527451,1725297938435.76
65,United States,2018,North America,7.96,4032.62826743,2525217.324,82.256,76.7355386223548,20533057312000.0
66,Austria,2018,Western Europe,8.29,66.831206,21996.241,58.297,62.8593347660623,454991174096.094
67,Denmark,2018,Western Europe,9.22,33.5542043,2592.0,87.874,64.9170030904082,356841216410.068
68,Finland,2018,Western Europe,9.14,85.4644094,11175.0,85.382,59.8444286436336,275708001767.838
69,France,2018,Western Europe,7.8,451.3417492,33835.6,80.444,70.0962126783413,2790956878746.61
70,Germany,2018,Western Europe,8.68,532.1598444,129991.0,77.312,62.1184685554681,3974443355019.53
71,Greece,2018,Western Europe,7.29,51.1158787,408.0,79.058,69.3996373622033,212049447242.107
72,Ireland,2018,Western Europe,9.15,27.6690696,89.0,63.17,56.1231799729847,385736680797.111
73,Italy,2018,Western Europe,7.71,306.2798323,22070.0,70.438,66.3404616665139,2091932426266.94
74,Luxembourg,2018,Western Europe,8.81,6.5513041,223.158399212,90.981,79.6541996425751,71000359760.4599
75,Netherlands,2018,Western Europe,8.89,114.9065002,7026.0,91.49,70.0324424053634,914043438179.591
76,Norway,2018,Western Europe,9.87,125.9534847,3970.0,82.248,54.57404711371,439788625883.8
77,Portugal,2018,Western Europe,7.84,49.3271795,2863.0,65.211,65.155218831648,242313116577.963
78,Spain,2018,Western Europe,8.08,247.4013205,10792.0,80.321,67.8718188757986,1421702715218.01
79,Sweden,2018,Western Europe,9.39,132.3395413,22794.306069132,87.431,65.2262926169137,555455371487.089
80,Switzerland,2018,Western Europe,9.03,55.2878937,11776.0,73.797,72.0635152908589,725562534363.895
81,United Kingdom,2018,Western Europe,8.53,313.6035513,17205.693315326,83.398,70.9201310831043,2878152147315.82
82,Albania,2018,Central and Eastern Europe,5.98,6.39826,20.4,60.319,47.7556278717034,15156424061.9815
83,Armenia,2018,Central and Eastern Europe,4.79,5.35326,730.0,63.149,52.6163051198371,12457940705.3088
84,Azerbaijan,2018,Central and Eastern Europe,2.65,20.28678,4492.0,55.68,34.7979823203316,47112479289.4186
85,Belarus,2018,Central and Eastern Europe,3.13,32.83396,52573.7,78.595,47.8106605624591,60031163987.191
86,Bosnia and Herzegovina,2018,Central and Eastern Europe,4.98,12.25308,1187.9,48.245,53.7328253653242,20484048415.5019
87,Bulgaria,2018,Central and Eastern Europe,7.03,30.5964996,3792.0,75.008,60.8553082293074,66399602077.1693
88,Croatia,2018,Central and Eastern Europe,6.57,16.688812,2743.0,56.947,59.6376025279193,61330483609.8835
89,Estonia,2018,Central and Eastern Europe,7.97,8.5479412,2594.0,68.88,60.8761910300161,30624720196.2285
90,Georgia,2018,Central and Eastern Europe,5.5,11.9561,2598.0,58.632,60.2689722283259,17596922469.9152
91,Hungary,2018,Central and Eastern Europe,6.63,41.1520503,10584.08,71.351,55.8836219662657,160565642983.587
92,Kazakhstan,2018,Central and Eastern Europe,2.94,91.780574,283117.8,57.428,55.454732268099,179339977517.062
93,Kyrgyzstan,2018,Central and Eastern Europe,5.11,11.7404,949.0,36.351,49.7676969702079,8271106196.04253
94,Latvia,2018,Central and Eastern Europe,7.38,6.7783863,17859.0,68.142,64.5537614690983,34429023435.0205
95,Lithuania,2018,Central and Eastern Europe,7.5,11.2425655,16885.0,67.679,61.4231641956474,53751411409.4437
96,Moldova,2018,Central and Eastern Europe,5.85,5.90324,1012.0,42.629,53.9337913876541,11253727815.4762
97,Montenegro,2018,Central and Eastern Europe,5.74,2.605143,112.856,66.813,59.1700209944822,5506944403.30196
98,North Macedonia,2018,Central and Eastern Europe,5.87,6.2106788,305.0,57.963,54.3216751049362,12683068033.1043
99,Poland,2018,Central and Eastern Europe,6.67,151.9292871,59388.0,60.058,56.4099513474215,588779850763.487
100,Romania,2018,Central and Eastern Europe,6.38,50.0582416,13076.0,53.998,56.9621710289653,243316050520.725
101,Russia,2018,Central and Eastern Europe,2.94,931.11845,2596879.7,74.433,53.4288055174333,1657328764645.93
102,Serbia,2018,Central and Eastern Europe,6.41,29.2972363,3186.0,56.092,51.0097335816946,50640662859.4987
103,Slovakia,2018,Central and Eastern Europe,7.1,27.0274711,8691.0,53.726,58.1393340614805,106137924015.591
104,Slovenia,2018,Central and Eastern Europe,7.5,13.838658,5151.0,54.541,56.5581808491739,54177882425.8421
105,Tajikistan,2018,Central and Eastern Europe,1.93,14.21318,224.0,27.134,36.7459808159957,7765000282.29397
106,Ukraine,2018,Central and Eastern Europe,5.69,127.14508,186344.1,69.352,51.3323027091522,130891086689.522
107,Uzbekistan,2018,Central and Eastern Europe,2.01,55.284857,22942.0,50.478,34.5928406709103,52870108217.5626
108,Chile,2018,Latin America and the Caribbean,7.97,77.0223832,3816.070253512,87.564,58.0012686597197,295402646018.151
109,Mexico,2018,Latin America and the Caribbean,6.19,291.1822412,87924.0,80.156,59.9275696897244,1222405556421.13
110,Australia,2018,Asia and Australasia,9.09,238.8835944,441273.24126364,86.012,66.6517785671063,1428266513154.48
111,China,2018,Asia and Australasia,3.32,6450.426757,2882100.0,59.152,53.2699679234152,13894907485398.9
112,India,2018,Asia and Australasia,7.23,1312.596162646,692916.0,34.03,48.4315663154935,2702929639861.5
113,Indonesia,2018,Asia and Australasia,6.39,247.269816,15091.0,55.325,43.4048373057688,1042271532953.36
114,Japan,2018,Asia and Australasia,7.99,963.9000025,19369.0,91.616,69.4031278581593,5040880939324.86
115,Malaysia,2018,Asia and Australasia,6.88,146.607209,1315.0,76.036,52.9910477853598,358788833524.945
116,New Zealand,2018,Asia and Australasia,9.26,40.478853833,4217.0,86.538,65.6321535050338,211886686924.483
117,Pakistan,2018,Asia and Australasia,4.17,123.6062,8080.0,36.666,52.9323158239348,356128167702.894
118,South Korea,2018,Asia and Australasia,8.0,542.9004483,7878.0,81.459,55.6916932454589,1724845615629.26
119,Vietnam,2018,Asia and Australasia,3.08,195.72484,3989.0,35.919,42.1709129435949,310106472642.968
120,Algeria,2018,Middle East and North Africa,3.5,62.11403,1026.0,72.629,45.2874353642853,174910891124.491
121,Iran,2018,Middle East and North Africa,2.45,271.485472,34859.0,74.898,48.5877167093191,327900695065.853
122,Israel,2018,Middle East and North Africa,7.79,60.510199,1235.1,92.418,70.4837250152884,376691526553.276
123,Morocco,2018,Middle East and North Africa,4.99,31.39579,3485.0,62.453,53.070813570865,127341141871.205
124,Tunisia,2018,Middle East and North Africa,6.41,15.8374,535.0,68.945,59.4589681861832,42686509835.5287
125,United Arab Emirates,2018,Middle East and North Africa,2.76,119.98748,1373.0,86.522,52.3695784114051,427049432157.931
126,Cameroon,2018,Sub-Saharan Africa,3.28,6.4962,812.416,56.374,50.4464488185533,39973842058.565
127,Gabon,2018,Sub-Saharan Africa,3.61,2.211269,3210.576346,89.37,41.1181969705571,16867326389.8696
128,Zimbabwe,2018,Sub-Saharan Africa,3.16,8.455186,1078.0,32.209,55.9847677273556,34156069918.0609
129,Canada,2017,North America,9.15,547.034675,420143.0,81.35,67.1166720622468,1649265644244.09
130,United States,2017,North America,7.98,3888.30564548,2445132.0,82.058,77.0329386939218,19477336549000.0
131,Austria,2017,Western Europe,8.42,66.554708,22256.0,58.094,62.5629819342208,417261151844.981
132,Denmark,2017,Western Europe,9.22,33.823852,2653.0,87.757,64.906321442337,332121063806.391
133,Finland,2017,Western Europe,9.03,83.468382,10362.0,85.325,59.7642078470709,255647979916.473
134,France,2017,Western Europe,7.8,454.23484,35464.9,80.18,70.2853682807471,2595151045197.67
135,Germany,2017,Western Europe,8.61,540.634873,131204.0,77.261,61.79703473353,3690849152517.69
136,Greece,2017,Western Europe,7.29,55.649167,358.0,78.724,69.6626665148474,199844406013.533
137,Ireland,2017,Western Europe,9.15,27.025035,100.0,62.947,55.1823755154498,336377500160.549
138,Italy,2017,Western Europe,7.98,304.722482,22335.0,70.144,66.4310597164747,1961796197354.37
139,Luxembourg,2017,Western Europe,8.81,6.484742,213.657253404,90.727,80.0810053034631,65712180342.9842
140,Netherlands,2017,Western Europe,8.89,111.808284,6467.0,91.077,70.066626385566,833869641687.068
141,Norway,2017,Western Europe,9.87,123.252004,4040.0,81.871,56.2861277546919,401745275035.261
142,Portugal,2017,Western Europe,7.84,48.125497,2742.0,64.652,65.3623519314207,221357874718.932
143,Spain,2017,Western Europe,8.08,247.677537,10507.0,80.08,67.817843047522,1313245330197.66
144,Sweden,2017,Western Europe,9.39,132.484364,21838.0,87.146,65.0889041390294,541018749769.097
145,Switzerland,2017,Western Europe,9.03,56.394007,11653.0,73.761,72.0901165918966,695200833086.499
146,United Kingdom,2017,Western Europe,8.53,312.481032,17166.930314851,83.143,70.9073058712485,2683488510504.04
147,Albania,2017,Central and Eastern Europe,5.98,6.119331,25.3,59.383,47.9695558116737,13019726211.7369
148,Armenia,2017,Central and Eastern Europe,4.11,5.57268,689.46,63.103,50.7652583569469,11527458712.6187
149,Azerbaijan,2017,Central and Eastern Europe,2.65,19.53536,4633.0,55.343,37.5760970630301,40866632047.8414
150,Belarus,2017,Central and Eastern Europe,3.13,32.16826,48538.0,78.134,47.6339978061051,54725311690.0478
151,Bosnia and Herzegovina,2017,Central and Eastern Europe,4.87,12.20166,1130.1,47.876,54.4500616892548,18326376394.0796
152,Bulgaria,2017,Central and Eastern Europe,7.03,31.474095,3931.0,74.669,57.9822662387322,59343060705.828
153,Croatia,2017,Central and Eastern Europe,6.63,16.482476,2592.0,56.667,59.797608033383,55937483557.9256
154,Estonia,2017,Central and Eastern Europe,7.79,7.988344,2325.0,68.717,60.3672359550675,26924385103.0662
155,Georgia,2017,Central and Eastern Europe,5.93,11.21232,2963.0,58.231,60.2635814099545,16242647229.7398
156,Hungary,2017,Central and Eastern Europe,6.64,40.424479,11344.565,71.062,55.8863241343543,143112196040.326
157,Kazakhstan,2017,Central and Eastern Europe,3.06,86.824,262097.5,57.336,57.304415099355,166805788966.78
158,Kyrgyzstan,2017,Central and Eastern Europe,5.11,11.23434,935.0,36.135,49.9324474240762,7702938395.18458
159,Latvia,2017,Central and Eastern Europe,7.25,6.633562,15014.0,68.075,64.7639548327734,30483806017.8321
160,Lithuania,2017,Central and Eastern Europe,7.41,10.872258,15414.0,67.516,60.4381268302661,47758736931.7805
161,Moldova,2017,Central and Eastern Europe,5.94,5.667,987.0,42.557,53.1080578877536,9519053158.46404
162,Montenegro,2017,Central and Eastern Europe,5.69,3.00358,168.9,66.477,60.1290365800584,4856602178.63413
