economy,time,IS.RRS.GOOD.MT.K6
RUS,YR2008,2116240.0
RUS,YR2009,1865305.0
RUS,YR2010,2011308.0
RUS,YR2011,2127834.572
RUS,YR2012,2222388.391
RUS,YR2013,2172685.0
RUS,YR2014,2298564.1
RUS,YR2015,2304758.6
RUS,YR2016,2342589.5
RUS,YR2017,2491875.9
RUS,YR2018,2596879.7
RUS,YR2019,2601928.1
SAS,YR2007,3115.0
SAS,YR2008,6187.0
SAS,YR2011,1225.0
SAS,YR2012,492.2405
SAS,YR2013,472.1205
SAS,YR2014,1090.0
SAS,YR2015,1997.5
SAS,YR2016,4774.0
SAU,YR2006,1272.3
SAU,YR2007,1630.0
SAU,YR2008,1748.0
SAU,YR2010,1852.472
SDN,YR2006,766.0
SDN,YR2010,925.0
SDN,YR2011,770.0
SDN,YR2012,823.0
SDN,YR2013,33.9
SEN,YR2006,384.0
SRB,YR2006,4232.0
SRB,YR2007,4551.0
SRB,YR2008,4339.0
SRB,YR2009,2967.0
SRB,YR2010,3522.0
SRB,YR2011,3611.0
SRB,YR2012,2769.0
SRB,YR2013,3022.0
SRB,YR2014,2988.0
SRB,YR2015,3248.0
SRB,YR2016,3087.0
SRB,YR2017,3288.0
SRB,YR2018,3186.0
SRB,YR2019,2865.0
SVK,YR2006,9988.0
SVK,YR2007,9647.0
SVK,YR2008,9299.0
SVK,YR2009,6964.0
SVK,YR2010,8105.0
SVK,YR2011,7960.0
SVK,YR2012,7591.0
SVK,YR2013,8494.0
SVK,YR2014,8829.0
SVK,YR2015,8439.0
SVK,YR2016,9111.0
SVK,YR2017,8486.0
SVK,YR2018,8691.0
SVK,YR2019,8480.0
SVN,YR2006,3373.0
SVN,YR2007,3603.0
SVN,YR2008,3520.0
SVN,YR2009,2668.0
SVN,YR2010,3421.0
SVN,YR2011,3752.0
SVN,YR2012,3470.0
SVN,YR2013,3799.0
SVN,YR2014,4110.0
SVN,YR2015,4175.0
SVN,YR2016,4360.0
SVN,YR2017,5128.0
SVN,YR2018,5151.0
SVN,YR2019,5292.0
SWE,YR2006,22271.0
SWE,YR2007,23250.0
SWE,YR2008,22924.0
SWE,YR2009,20389.0
SWE,YR2010,23464.0
SWE,YR2011,22864.0
SWE,YR2012,22043.0
SWE,YR2013,20970.0
SWE,YR2014,21296.0
SWE,YR2015,20699.0
SWE,YR2016,21406.0
SWE,YR2017,21838.0
SWE,YR2018,22794.306069132
SWE,YR2019,22222.065674494
SWZ,YR2006,680.409
SWZ,YR2010,776.0
SWZ,YR2011,862.0
SYR,YR2006,2458.0
SYR,YR2007,2551.0
SYR,YR2008,2370.473
SYR,YR2010,2206.297
TEA,YR2007,4157.5
TEA,YR2010,5533.5
TEC,YR2006,6387.35
TEC,YR2007,6928.0
TEC,YR2008,8275.2
TEC,YR2009,5433.0
TEC,YR2010,6227.5
TEC,YR2011,6054.8
TEC,YR2012,5976.0
TEC,YR2013,4392.8
TEC,YR2014,4987.5
TEC,YR2015,4261.25
TEC,YR2016,3434.0
TEC,YR2017,3931.0
TEC,YR2018,3489.0
TEC,YR2019,3418.3
THA,YR2007,3161.0
THA,YR2010,2701.0
THA,YR2011,2562.0
TJK,YR2006,1220.1
TJK,YR2007,1274.4
TJK,YR2009,1282.0
TJK,YR2010,808.4
TJK,YR2011,702.9
TJK,YR2012,554.9
TJK,YR2014,391.0
TJK,YR2015,317.0
TJK,YR2016,228.3
TJK,YR2017,165.0
TJK,YR2018,224.0
TJK,YR2019,231.7
TKM,YR2006,10441.0
TKM,YR2007,10973.0
TKM,YR2008,11547.0
TKM,YR2009,11765.0
TKM,YR2010,11765.0
TKM,YR2011,11992.0
TKM,YR2012,11992.0
TKM,YR2014,11992.0
TKM,YR2015,13327.0
TKM,YR2016,13327.0
TKM,YR2017,13327.0
TMN,YR2006,2458.0
TMN,YR2007,2374.0
TMN,YR2008,2221.7365
TMN,YR2010,1808.3085
TSA,YR2007,3115.0
TSA,YR2008,6187.0
TSA,YR2011,1225.0
TSA,YR2012,492.2405
TSA,YR2013,472.1205
TSA,YR2014,1090.0
TSA,YR2015,1997.5
TSA,YR2016,4774.0
TUN,YR2006,2174.0
TUN,YR2007,2197.0
TUN,YR2008,2073.0
TUN,YR2010,2024.481
TUN,YR2014,870.0
TUN,YR2015,664.0
TUN,YR2016,667.0
TUN,YR2017,679.0
TUN,YR2018,535.0
TUN,YR2019,545.0
TUR,YR2006,9676.0
TUR,YR2007,9921.0
TUR,YR2008,10739.0
TUR,YR2009,10326.0
TUR,YR2010,11462.0
TUR,YR2011,11677.0
TUR,YR2012,11670.0
TUR,YR2013,11177.0
TUR,YR2014,11992.0
TUR,YR2015,10474.0
TUR,YR2016,11661.0
TUR,YR2017,12869.0
TUR,YR2018,14478.0
TUR,YR2019,14707.0
UKR,YR2006,240810.0
UKR,YR2007,262505.0
UKR,YR2008,257006.0
UKR,YR2009,196188.0
UKR,YR2010,218083.0
UKR,YR2011,243866.0
UKR,YR2012,237722.0
UKR,YR2013,224434.0
UKR,YR2014,211233.0
UKR,YR2015,195054.0
UKR,YR2016,187557.0
UKR,YR2017,191914.1
UKR,YR2018,186344.1
UKR,YR2019,181844.7
UMC,YR2006,4390.0
UMC,YR2007,5241.0
UMC,YR2008,5990.7
UMC,YR2010,4874.75
URY,YR2006,304.0
URY,YR2007,284.0
USA,YR2006,2586836.0
USA,YR2007,2584940.0
USA,YR2008,2594631.0
USA,YR2009,2236917.0
USA,YR2010,2468738.0
USA,YR2011,2524585.0
USA,YR2012,2500300.0
USA,YR2013,2541354.0
USA,YR2014,2702736.0
USA,YR2015,2547253.0
USA,YR2016,2314693.0
USA,YR2017,2445132.0
USA,YR2018,2525217.324
USA,YR2019,2357116.529
UZB,YR2006,19281.4
UZB,YR2007,21594.0
UZB,YR2008,23432.4
UZB,YR2009,22227.0
UZB,YR2010,22281.8
UZB,YR2011,22482.0
UZB,YR2012,22686.4
UZB,YR2014,22932.0
UZB,YR2015,22935.0
UZB,YR2016,22937.0
UZB,YR2017,22940.0
UZB,YR2018,22942.0
UZB,YR2019,22860.0
VEN,YR2006,81.07
VNM,YR2006,3447.0
VNM,YR2007,3910.0
VNM,YR2008,4106.0
VNM,YR2009,4139.0
VNM,YR2010,3901.0
VNM,YR2011,4101.0
VNM,YR2012,3959.0
VNM,YR2013,3733.0
VNM,YR2014,4251.9
VNM,YR2015,4125.4
VNM,YR2016,3190.0
VNM,YR2017,3574.0
VNM,YR2018,3989.0
VNM,YR2019,3742.0
WLD,YR2006,4893.0
WLD,YR2007,5645.5
ZAF,YR2007,106014.0
ZAF,YR2008,113342.0
ZMB,YR2017,297.0
ZWE,YR2007,1580.0
ZWE,YR2018,1078.0
ZWE,YR2019,897.0
