economy,time,SP.URB.TOTL.IN.ZS
BDI,YR2014,11.776
BDI,YR2015,12.078
BDI,YR2016,12.388
BDI,YR2017,12.706
BDI,YR2018,13.032
BDI,YR2019,13.366
BEL,YR2006,97.454
BEL,YR2007,97.505
BEL,YR2008,97.555
BEL,YR2009,97.603
BEL,YR2010,97.651
BEL,YR2011,97.698
BEL,YR2012,97.744
BEL,YR2013,97.789
BEL,YR2014,97.833
BEL,YR2015,97.876
BEL,YR2016,97.919
BEL,YR2017,97.961
BEL,YR2018,98.001
BEL,YR2019,98.041
BEN,YR2006,41.049
BEN,YR2007,41.558
BEN,YR2008,42.069
BEN,YR2009,42.58
BEN,YR2010,43.093
BEN,YR2011,43.608
BEN,YR2012,44.125
BEN,YR2013,44.642
BEN,YR2014,45.166
BEN,YR2015,45.695
BEN,YR2016,46.229
BEN,YR2017,46.768
BEN,YR2018,47.312
BEN,YR2019,47.861
BFA,YR2006,22.339
BFA,YR2007,22.996
BFA,YR2008,23.534
BFA,YR2009,24.079
BFA,YR2010,24.633
BFA,YR2011,25.196
BFA,YR2012,25.767
BFA,YR2013,26.346
BFA,YR2014,26.934
BFA,YR2015,27.53
BFA,YR2016,28.134
BFA,YR2017,28.743
BFA,YR2018,29.358
BFA,YR2019,29.98
BGD,YR2006,27.517
BGD,YR2007,28.237
BGD,YR2008,28.968
BGD,YR2009,29.709
BGD,YR2010,30.462
BGD,YR2011,31.225
BGD,YR2012,31.993
BGD,YR2013,32.762
BGD,YR2014,33.535
BGD,YR2015,34.308
BGD,YR2016,35.083
BGD,YR2017,35.858
BGD,YR2018,36.632
BGD,YR2019,37.405
BGR,YR2006,70.932
BGR,YR2007,71.278
BGR,YR2008,71.622
BGR,YR2009,71.963
BGR,YR2010,72.302
BGR,YR2011,72.638
BGR,YR2012,72.975
BGR,YR2013,73.313
BGR,YR2014,73.651
BGR,YR2015,73.99
BGR,YR2016,74.329
BGR,YR2017,74.669
BGR,YR2018,75.008
BGR,YR2019,75.347
BHR,YR2006,88.452
BHR,YR2007,88.488
BHR,YR2008,88.53
BHR,YR2009,88.579
BHR,YR2010,88.634
BHR,YR2011,88.695
BHR,YR2012,88.762
BHR,YR2013,88.835
BHR,YR2014,88.915
BHR,YR2015,88.999
BHR,YR2016,89.09
BHR,YR2017,89.186
BHR,YR2018,89.287
BHR,YR2019,89.394
BHS,YR2006,82.26
BHS,YR2007,82.302
BHS,YR2008,82.343
BHS,YR2009,82.385
BHS,YR2010,82.427
BHS,YR2011,82.476
BHS,YR2012,82.532
BHS,YR2013,82.596
BHS,YR2014,82.668
BHS,YR2015,82.746
BHS,YR2016,82.832
BHS,YR2017,82.925
BHS,YR2018,83.025
BHS,YR2019,83.132
BIH,YR2006,44.282
BIH,YR2007,44.601
BIH,YR2008,44.92
BIH,YR2009,45.239
BIH,YR2010,45.558
BIH,YR2011,45.878
BIH,YR2012,46.199
BIH,YR2013,46.519
BIH,YR2014,46.84
BIH,YR2015,47.173
BIH,YR2016,47.518
BIH,YR2017,47.876
BIH,YR2018,48.245
BIH,YR2019,48.626
BLR,YR2006,72.816
BLR,YR2007,73.273
BLR,YR2008,73.726
BLR,YR2009,74.172
BLR,YR2010,74.672
BLR,YR2011,75.188
BLR,YR2012,75.697
BLR,YR2013,76.199
BLR,YR2014,76.693
BLR,YR2015,77.181
BLR,YR2016,77.661
BLR,YR2017,78.134
BLR,YR2018,78.595
BLR,YR2019,79.044
BLZ,YR2006,45.296
BLZ,YR2007,45.279
BLZ,YR2008,45.262
BLZ,YR2009,45.245
BLZ,YR2010,45.228
BLZ,YR2011,45.228
BLZ,YR2012,45.246
BLZ,YR2013,45.282
BLZ,YR2014,45.335
BLZ,YR2015,45.406
BLZ,YR2016,45.495
BLZ,YR2017,45.601
BLZ,YR2018,45.724
BLZ,YR2019,45.866
BMU,YR2006,100.0
BMU,YR2007,100.0
BMU,YR2008,100.0
BMU,YR2009,100.0
BMU,YR2010,100.0
BMU,YR2011,100.0
BMU,YR2012,100.0
BMU,YR2013,100.0
BMU,YR2014,100.0
BMU,YR2015,100.0
BMU,YR2016,100.0
BMU,YR2017,100.0
BMU,YR2018,100.0
BMU,YR2019,100.0
BOL,YR2006,64.628
BOL,YR2007,65.082
BOL,YR2008,65.535
BOL,YR2009,65.984
BOL,YR2010,66.43
BOL,YR2011,66.874
BOL,YR2012,67.315
BOL,YR2013,67.699
BOL,YR2014,68.047
BOL,YR2015,68.393
BOL,YR2016,68.738
BOL,YR2017,69.08
BOL,YR2018,69.425
BOL,YR2019,69.773
BRA,YR2006,83.143
BRA,YR2007,83.448
BRA,YR2008,83.749
BRA,YR2009,84.044
BRA,YR2010,84.335
BRA,YR2011,84.631
BRA,YR2012,84.923
BRA,YR2013,85.209
BRA,YR2014,85.492
BRA,YR2015,85.77
BRA,YR2016,86.042
BRA,YR2017,86.309
BRA,YR2018,86.569
BRA,YR2019,86.824
BRB,YR2006,32.646
BRB,YR2007,32.451
BRB,YR2008,32.256
BRB,YR2009,32.063
BRB,YR2010,31.87
BRB,YR2011,31.7
BRB,YR2012,31.553
BRB,YR2013,31.429
BRB,YR2014,31.328
BRB,YR2015,31.249
BRB,YR2016,31.193
BRB,YR2017,31.159
BRB,YR2018,31.147
BRB,YR2019,31.158
BRN,YR2006,73.529
BRN,YR2007,73.892
BRN,YR2008,74.252
BRN,YR2009,74.608
BRN,YR2010,74.961
BRN,YR2011,75.31
BRN,YR2012,75.656
BRN,YR2013,75.997
BRN,YR2014,76.332
BRN,YR2015,76.663
BRN,YR2016,76.99
BRN,YR2017,77.312
BRN,YR2018,77.629
BRN,YR2019,77.942
BTN,YR2006,31.712
BTN,YR2007,32.469
BTN,YR2008,33.236
BTN,YR2009,34.01
BTN,YR2010,34.793
BTN,YR2011,35.585
BTN,YR2012,36.371
BTN,YR2013,37.149
BTN,YR2014,37.918
BTN,YR2015,38.678
BTN,YR2016,39.428
BTN,YR2017,40.167
BTN,YR2018,40.895
BTN,YR2019,41.612
BWA,YR2006,56.4
BWA,YR2007,57.928
BWA,YR2008,59.444
BWA,YR2009,60.937
BWA,YR2010,62.412
BWA,YR2011,63.865
BWA,YR2012,64.768
BWA,YR2013,65.572
BWA,YR2014,66.368
BWA,YR2015,67.155
BWA,YR2016,67.933
BWA,YR2017,68.7
BWA,YR2018,69.446
BWA,YR2019,70.172
CAF,YR2006,38.193
CAF,YR2007,38.339
CAF,YR2008,38.506
CAF,YR2009,38.694
CAF,YR2010,38.904
CAF,YR2011,39.135
CAF,YR2012,39.388
CAF,YR2013,39.663
CAF,YR2014,39.959
CAF,YR2015,40.277
CAF,YR2016,40.618
CAF,YR2017,40.98
CAF,YR2018,41.364
CAF,YR2019,41.77
CAN,YR2006,80.213
CAN,YR2007,80.396
CAN,YR2008,80.578
CAN,YR2009,80.758
CAN,YR2010,80.937
CAN,YR2011,81.096
CAN,YR2012,81.137
CAN,YR2013,81.178
CAN,YR2014,81.218
CAN,YR2015,81.259
CAN,YR2016,81.3
CAN,YR2017,81.35
CAN,YR2018,81.411
CAN,YR2019,81.482
CEB,YR2006,61.7638954455271
CEB,YR2007,61.8418454287671
CEB,YR2008,61.9245405466205
CEB,YR2009,61.9860468760089
CEB,YR2010,62.0260650244198
CEB,YR2011,62.0639344852313
CEB,YR2012,62.0817769738868
CEB,YR2013,62.0968137366794
CEB,YR2014,62.1136451427738
CEB,YR2015,62.1406724582082
CEB,YR2016,62.1844843229932
CEB,YR2017,62.2484547292635
CEB,YR2018,62.3336666035846
CEB,YR2019,62.4381392131022
CHE,YR2006,73.504
CHE,YR2007,73.53
CHE,YR2008,73.556
CHE,YR2009,73.581
CHE,YR2010,73.607
CHE,YR2011,73.631
CHE,YR2012,73.653
CHE,YR2013,73.674
CHE,YR2014,73.696
CHE,YR2015,73.718
CHE,YR2016,73.739
CHE,YR2017,73.761
CHE,YR2018,73.797
CHE,YR2019,73.849
CHI,YR2006,30.805
CHI,YR2007,30.867
CHI,YR2008,30.929
CHI,YR2009,30.992
CHI,YR2010,31.054
CHI,YR2011,31.091
CHI,YR2012,31.059
CHI,YR2013,31.027
CHI,YR2014,30.995
CHI,YR2015,30.962
CHI,YR2016,30.93
CHI,YR2017,30.914
CHI,YR2018,30.914
CHI,YR2019,30.931
CHL,YR2006,86.842
CHL,YR2007,86.9
CHL,YR2008,86.959
CHL,YR2009,87.017
CHL,YR2010,87.074
CHL,YR2011,87.132
CHL,YR2012,87.189
CHL,YR2013,87.246
CHL,YR2014,87.303
CHL,YR2015,87.36
CHL,YR2016,87.422
CHL,YR2017,87.49
CHL,YR2018,87.564
CHL,YR2019,87.643
CHN,YR2006,43.868
CHN,YR2007,45.199
CHN,YR2008,46.539
CHN,YR2009,47.88
CHN,YR2010,49.226
CHN,YR2011,50.511
CHN,YR2012,51.765
CHN,YR2013,53.013
CHN,YR2014,54.259
CHN,YR2015,55.5
CHN,YR2016,56.736
CHN,YR2017,57.96
CHN,YR2018,59.152
CHN,YR2019,60.308
CIV,YR2006,45.652
CIV,YR2007,46.071
CIV,YR2008,46.491
CIV,YR2009,46.91
CIV,YR2010,47.33
CIV,YR2011,47.751
CIV,YR2012,48.172
CIV,YR2013,48.593
CIV,YR2014,49.014
CIV,YR2015,49.444
CIV,YR2016,49.881
CIV,YR2017,50.326
CIV,YR2018,50.779
CIV,YR2019,51.239
CMR,YR2006,49.143
CMR,YR2007,49.746
CMR,YR2008,50.35
CMR,YR2009,50.954
CMR,YR2010,51.559
CMR,YR2011,52.164
CMR,YR2012,52.769
CMR,YR2013,53.373
CMR,YR2014,53.976
CMR,YR2015,54.578
CMR,YR2016,55.179
CMR,YR2017,55.777
CMR,YR2018,56.374
CMR,YR2019,56.968
COD,YR2006,37.971
COD,YR2007,38.47
COD,YR2008,38.976
COD,YR2009,39.491
COD,YR2010,40.013
COD,YR2011,40.544
COD,YR2012,41.082
COD,YR2013,41.627
COD,YR2014,42.18
COD,YR2015,42.74
COD,YR2016,43.307
COD,YR2017,43.88
COD,YR2018,44.46
COD,YR2019,45.046
COG,YR2006,61.441
COG,YR2007,61.893
COG,YR2008,62.346
COG,YR2009,62.8
COG,YR2010,63.256
COG,YR2011,63.712
COG,YR2012,64.169
COG,YR2013,64.627
COG,YR2014,65.085
COG,YR2015,65.543
COG,YR2016,66.001
COG,YR2017,66.459
COG,YR2018,66.916
COG,YR2019,67.373
COL,YR2006,76.423
COL,YR2007,76.816
COL,YR2008,77.204
COL,YR2009,77.587
COL,YR2010,77.964
COL,YR2011,78.335
COL,YR2012,78.701
COL,YR2013,79.061
COL,YR2014,79.415
COL,YR2015,79.764
COL,YR2016,80.108
COL,YR2017,80.446
COL,YR2018,80.778
COL,YR2019,81.104
COM,YR2006,27.863
COM,YR2007,27.867
